# Server version 0.08 running on www.smart-browser.com:8123
# Game ID: 24
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Tue Apr 08 19:52:09 EDT 2014
# Player 1: Player-0, 'random', running on www.smart-browser.com
# Player 2: Player-1, '110121860', running on www.smart-browser.com
# Player 3: Player-2, '110121860', running on www.smart-browser.com
# Player 4: Player-3, 'random', running on www.smart-browser.com
START Player-0 random
1 (10,1) (10,0)
2 (6,15) (8,15)
2 null null
3 (12,9) (11,10)
0 (8,3) (8,2)
1 (13,1) (12,0)
2 (5,11) (4,12)
3 (11,14) (11,13)
0 (5,6) (6,6)
1 (15,5) (14,6)
2 (1,11) (3,13)
2 (3,13) (5,11)
2 null null
3 (11,10) (10,9)
0 (5,3) (6,2)
1 (12,2) (11,3)
2 (4,12) (3,12)
3 (8,13) (7,14)
0 (3,7) (3,6)
1 (8,7) (8,8)
2 (1,15) (2,14)
3 (14,11) (15,12)
0 (1,2) (0,3)
1 (14,3) (14,2)
2 (4,13) (5,12)
3 (14,13) (14,12)
0 (4,1) (5,2)
1 (10,2) (11,2)
2 (2,15) (1,14)
3 (8,10) (7,9)
0 (5,5) (6,4)
1 (14,2) (14,3)
2 (3,15) (4,15)
3 (11,13) (12,12)
0 (3,3) (2,3)
1 (14,6) (13,7)
2 (2,14) (0,14)
2 null null
3 (13,15) (12,15)
0 (6,4) (6,5)
1 (11,0) (13,0)
1 (13,0) (15,2)
1 (15,2) (15,4)
1 null null
2 (3,11) (4,12)
3 (14,12) (14,13)
0 (2,1) (4,1)
0 null null
1 (11,3) (12,2)
2 (5,12) (6,11)
3 (7,14) (5,14)
3 null null
0 (6,2) (5,1)
1 (10,0) (11,0)
2 (6,14) (6,13)
3 (10,9) (11,9)
0 (2,2) (4,0)
0 (4,0) (4,2)
0 (4,2) (6,0)
0 null null
1 (12,2) (11,1)
2 (6,11) (6,12)
3 (11,9) (11,8)
0 (2,3) (3,4)
1 (8,8) (7,7)
2 (2,12) (2,13)
3 (7,9) (6,8)
0 (6,6) (5,7)
1 (12,5) (13,4)
2 (1,14) (1,13)
3 (12,12) (14,12)
3 (14,12) (14,14)
3 null null
0 (4,1) (5,0)
1 (12,0) (12,1)
2 (6,12) (7,13)
3 (15,12) (15,10)
3 null null
0 (6,5) (6,4)
1 (11,2) (12,3)
2 (2,13) (3,13)
3 (15,10) (15,12)
3 null null
0 (3,1) (3,0)
1 (12,1) (11,2)
2 (7,13) (6,14)
3 (14,14) (13,14)
0 (3,0) (4,0)
1 (11,1) (11,3)
1 null null
2 (1,12) (2,13)
3 (11,8) (12,9)
0 (8,2) (8,1)
1 (11,3) (10,2)
2 (6,14) (6,15)
3 (13,12) (14,11)
0 (5,2) (6,3)
1 (7,7) (5,9)
1 null null
2 (3,12) (3,14)
2 (3,14) (1,12)
2 (1,12) (1,14)
2 null null
3 (9,14) (10,14)
0 (0,3) (1,2)
1 (14,1) (13,0)
2 (4,12) (5,13)
3 (6,8) (4,10)
3 (4,10) (6,12)
3 (6,12) (6,14)
3 (6,14) (4,12)
3 null null
0 (1,2) (1,0)
0 null null
1 (5,9) (6,8)
2 (3,13) (4,14)
3 (13,14) (14,14)
0 (1,1) (2,2)
1 (13,3) (11,3)
1 (11,3) (9,1)
1 (9,1) (7,1)
1 null null
2 (2,13) (3,13)
3 (12,9) (12,10)
0 (0,5) (1,5)
1 (14,3) (14,4)
2 (6,13) (5,12)
3 (14,14) (14,12)
3 null null
0 (5,7) (7,9)
0 null null
1 (6,8) (6,7)
2 (1,14) (2,15)
3 (5,14) (5,15)
0 (8,1) (7,0)
1 (13,0) (12,0)
2 (5,12) (5,10)
2 null null
3 (10,13) (9,14)
0 (7,9) (7,10)
1 (7,1) (6,1)
2 (0,14) (2,12)
2 null null
3 (14,13) (13,13)
0 (1,5) (0,4)
1 (12,3) (12,2)
2 (6,15) (7,14)
3 (4,12) (5,12)
0 (6,0) (7,1)
1 (6,7) (7,7)
2 (2,15) (2,14)
3 (12,15) (13,15)
0 (5,1) (4,2)
1 (11,0) (10,0)
2 (2,14) (3,15)
3 (14,12) (14,13)
0 (4,0) (3,0)
1 (15,4) (15,2)
1 null null
2 (5,10) (4,9)
3 (14,11) (15,10)
0 (7,0) (5,2)
0 (5,2) (3,2)
0 (3,2) (1,2)
0 null null
1 (12,2) (11,3)
2 (4,9) (3,8)
3 (15,11) (15,13)
3 null null
0 (2,2) (3,3)
1 (11,3) (12,3)
2 (8,15) (10,13)
2 null null
3 (9,14) (8,13)
0 (0,4) (0,3)
1 (14,4) (15,5)
2 (4,14) (5,14)
3 (15,13) (14,14)
0 (3,3) (2,3)
1 (6,1) (5,2)
2 (7,14) (6,15)
3 (8,13) (9,14)
0 (3,0) (4,0)
1 (15,3) (14,2)
2 (2,12) (3,11)
3 (10,14) (9,15)
0 (6,4) (5,3)
1 (10,0) (11,1)
2 (5,14) (6,14)
3 (5,12) (5,14)
3 (5,14) (7,14)
3 null null
0 (2,3) (3,2)
GAMEOVER 
WINNER Player-1
# Game ended: Tue Apr 08 19:52:15 EDT 2014
