# Server version 0.08 running on wpa130241.wireless.mcgill.ca:8123
# Game ID: 12
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Tue Apr 08 18:05:46 EDT 2014
# Player 1: Player-0, '110121860', running on www.smart-browser.com
# Player 2: Player-1, '110121860', running on www.smart-browser.com
# Player 3: Player-2, '110121860', running on www.smart-browser.com
# Player 4: Player-3, '110121860', running on www.smart-browser.com
START Player-0 110121860
1 null null
2 (1,14) (2,15)
3 (13,14) (12,14)
0 (5,3) (5,4)
1 (14,2) (13,3)
2 (7,14) (7,13)
3 (11,10) (11,11)
0 (4,2) (3,1)
1 (12,4) (12,5)
2 (6,12) (5,11)
3 (11,11) (11,12)
0 (5,4) (3,2)
0 null null
1 (11,2) (11,3)
2 (5,11) (5,12)
3 (11,12) (10,13)
0 (1,4) (2,5)
1 (13,3) (12,4)
2 (6,13) (6,14)
3 (13,11) (12,12)
0 (4,3) (5,3)
1 (10,4) (9,4)
2 (7,13) (8,13)
3 (12,15) (13,15)
0 (0,2) (2,2)
0 (2,2) (2,0)
0 (2,0) (4,2)
0 null null
1 (12,5) (11,5)
2 (7,10) (6,10)
3 (10,11) (9,10)
0 (4,2) (2,0)
0 (2,0) (2,2)
0 (2,2) (0,2)
0 null null
1 (13,2) (14,1)
2 (6,10) (6,9)
3 (11,14) (11,12)
3 (11,12) (9,14)
3 null null
0 (1,6) (0,5)
1 (15,3) (14,4)
2 (8,13) (7,12)
3 (13,15) (15,13)
3 (15,13) (15,15)
3 null null
0 (0,5) (1,5)
1 (10,1) (9,1)
2 (2,15) (3,14)
3 (15,14) (14,15)
0 (0,8) (1,9)
1 (9,4) (8,4)
2 (7,12) (8,12)
3 (12,12) (11,11)
0 (2,5) (3,5)
1 (11,3) (10,4)
2 (0,14) (0,13)
3 (9,14) (8,15)
0 (0,0) (1,0)
1 (10,4) (9,4)
2 (1,13) (1,12)
3 (11,11) (12,11)
0 (2,1) (2,2)
1 (8,4) (9,3)
2 (3,14) (2,13)
3 (9,10) (8,10)
0 (3,5) (4,4)
1 (11,5) (12,6)
2 (2,11) (3,12)
3 (11,13) (12,12)
0 (6,0) (7,1)
1 (14,4) (13,3)
2 (3,12) (4,12)
3 (15,11) (15,10)
0 (4,4) (3,4)
1 (9,4) (9,5)
2 (1,12) (0,12)
3 (13,5) (13,4)
0 (1,9) (0,9)
1 (14,1) (13,2)
2 (5,12) (3,12)
2 (3,12) (1,14)
2 null null
3 (12,12) (12,10)
3 null null
0 (3,1) (4,0)
1 (7,3) (6,4)
2 (2,12) (1,11)
3 (8,15) (8,14)
0 (3,4) (2,4)
1 (13,2) (14,1)
2 (2,14) (2,15)
3 (15,15) (15,14)
0 (2,4) (3,5)
1 (9,5) (8,4)
2 (6,14) (7,13)
3 (12,10) (13,10)
0 (5,2) (4,2)
1 (12,6) (12,5)
2 (6,9) (5,10)
3 (13,10) (13,11)
0 (3,5) (4,4)
1 (6,4) (6,3)
2 (5,10) (5,9)
3 (13,11) (12,10)
0 (0,9) (1,8)
1 (9,3) (9,4)
2 (8,12) (8,13)
3 (12,11) (11,11)
0 (0,2) (1,1)
1 (8,4) (9,3)
2 (8,13) (6,13)
2 null null
3 (8,14) (8,15)
0 (1,2) (2,1)
1 (12,5) (13,5)
2 (7,13) (8,14)
3 (10,13) (11,13)
0 (1,8) (1,9)
1 (9,3) (8,3)
2 (2,13) (1,13)
3 (12,10) (11,10)
0 (1,9) (1,10)
1 (15,2) (14,3)
2 (4,12) (4,13)
3 (11,10) (10,9)
0 (5,3) (7,3)
0 (7,3) (9,3)
0 null null
1 (12,4) (11,5)
2 (0,11) (0,9)
2 (0,9) (2,11)
2 null null
3 (14,14) (13,15)
0 (4,0) (3,1)
1 (14,3) (14,2)
2 (2,15) (0,15)
2 null null
3 (10,9) (10,8)
0 (2,1) (2,0)
1 (8,3) (8,2)
2 (1,13) (0,14)
3 (10,8) (11,9)
0 (1,10) (1,12)
0 null null
1 (13,5) (12,5)
2 (6,13) (6,14)
3 (8,10) (9,9)
0 (9,3) (8,4)
1 (8,2) (9,3)
2 (5,9) (6,9)
3 (15,14) (15,15)
0 (8,4) (10,2)
0 null null
1 (12,5) (12,4)
2 (1,14) (2,13)
3 (11,9) (12,10)
0 (1,12) (1,10)
0 null null
1 (14,2) (13,2)
2 (6,9) (5,8)
3 (8,15) (9,14)
0 (1,5) (2,4)
1 (9,3) (11,1)
1 null null
2 (0,15) (1,14)
3 (11,13) (11,12)
0 (2,4) (3,3)
GAMEOVER 
WINNER Player-1
# Game ended: Tue Apr 08 18:05:53 EDT 2014
